true_richness
26
15
3
8
16
12
7
22
18
17
27
18
40
17
22
18
24
3
8
14
13
9
13
10
4
16
26
16
26
10
4
11
3
24
18
25
29
46
20
8
6
42
18
23
11
17
36
12
18
11
3
12
26
11
6
11
3
7
4
14
10
42
14
15
9
35
18
10
11
17
11
8
15
20
9
29
10
18
5
36
7
14
31
7
16
9
16
8
11
21
18
53
13
12
34
5
3
17
29
8
