true_richness
19
12
8
16
13
3
24
23
10
17
24
23
12
6
4
10
15
7
46
25
17
9
5
5
11
13
35
19
29
43
16
17
23
5
7
26
39
28
24
5
17
12
8
25
9
19
19
3
25
12
10
29
27
31
14
10
30
14
29
20
33
30
8
28
9
17
9
15
10
10
12
5
23
20
29
8
21
21
23
2
21
13
38
7
8
15
5
21
11
22
13
26
8
18
10
9
15
15
11
8
